id,name,japanName,hiragana,bust,waist,hip,height,birthday,blood_type,hobby,prefectures,age
88,Nakamura Ami,中村あみ,なかむらあみ,87.0,60.0,86.0,158.0,1983-06-20,A,水泳,東京都,38.0
89,Siina Zyunna,しいな純菜,しいなじゅんな,83.0,60.0,84.0,160.0,1981-02-28,B,ショッピング、料理,東京都,40.0
97,Sinozaki Satomi,しのざきさとみ（三沢亜也）,しのざきさとみ（みさわあや）,88.0,58.0,86.0,159.0,1963-01-18,,,,58.0
10563,Itinose Nanako,一之瀬奈々子,いちのせななこ,,,,,,,,,
10565,Yosida Reiko,吉田礼子,よしだれいこ,,,,,,,,,
10567,Tuki Hosiko,月星子,つきほしこ,,,,,,,,,
10569,Ituki Hiroko,五木紘子,いつきひろこ,,,,,,,,,
10574,Matubara Sayuri,松原さゆり,まつばらさゆり,,,,,,,,,
10576,Saijyou Rei,西条麗,さいじょうれい,87.0,59.0,86.0,163.0,1971-05-23,A,ショッピング,東京都,50.0
10586,Saotome Minaki,早乙女みなき（朝倉なほ）,さおとめみなき（あさくらなほ）,87.0,59.0,86.0,160.0,1983-05-28,O,ショッピング、バスケ、フットサル、料理,東京都,38.0
10588,Eguti Miki,江口美貴,えぐちみき,84.0,58.0,84.0,160.0,1984-05-15,,読書、映画鑑賞,東京都,37.0
10595,Kaede,kaede,かえで,85.0,59.0,85.0,156.0,1984-12-17,,社交ダンス,神奈川県,37.0
10596,Yatou Aki,矢藤あき,やとうあき,88.0,58.0,88.0,156.0,1985-06-16,,スポーツ全般、書道5段,神奈川県,36.0
10597,Suzuki Rina,鈴木梨奈,すずきりな,93.0,60.0,91.0,,,,,,
10607,Aoyama Yuuka,青山優花,あおやまゆうか,83.0,56.0,85.0,165.0,1978-06-20,,,埼玉県,43.0
10608,Asaoka Zyuri,麻丘珠里,あさおかじゅり,,,,,,,,,
10609,Asada Kaori,麻田かおり,あさだかおり,85.0,59.0,90.0,162.0,1973-11-05,B,,,48.0
10614,Iwasita Yurika,岩下由里香,いわしたゆりか,,,,,,,,,
10618,Katou Miyuki,かとうみゆき,かとうみゆき,82.0,58.0,83.0,152.0,1967-04-02,A,,東京都,54.0
10621,Kuramoto Riri,倉本梨里,くらもとりり,,,,,,,,,
10626,Sasaki Aya,佐々木彩,ささきあや,80.0,61.0,83.0,167.0,1965-09-13,,,,56.0
10634,Nakagawa Mao,中川真緒,なかがわまお,,,,,,,,,
10635,Nagasima Reiko,長嶋玲子,ながしまれいこ,86.0,58.0,87.0,160.0,1980-11-14,O,,千葉県,41.0
10636,Nitta Akira,新田あきら,にったあきら,,,,,,,,,
10641,Huzinoki Asahi,藤乃木あさひ,ふじのきあさひ,,,,,,,,,
10650,Yuuki Riona,優木里緒奈,ゆうきりおな,88.0,59.0,88.0,162.0,1978-07-10,,,東京都,43.0
1033,Sakai Mayumi,坂井真弓,さかいまゆみ,,,,,,,,,
1036,Sakamaki Riona,坂巻リオナ,さかまきりおな,90.0,59.0,88.0,160.0,1979-01-20,O,ショッピング、ゲーム,東京都,42.0
1038,Sakaguti Kana,坂口華奈,さかぐちかな,87.0,59.0,87.0,165.0,1978-09-18,O,,,43.0
1039,Sakagami Eriko,坂上江梨子,さかがみえりこ,83.0,53.0,82.0,,,O,映画鑑賞、ショッピング、ドライブ、パソコン,,
1040,Sakagami Kaori,坂上香,さかがみかおり,88.0,60.0,89.0,,,,,,
1041,Sakagami Yuuka,坂上友香,さかがみゆか,86.0,60.0,88.0,160.0,1978-08-31,A,スポーツ全般,,43.0
1042,Sakagami Yukie,坂上由紀恵,さかがみゆきえ,,,,,,,,,
1044,Sakamoto Yuka,坂本ゆか,さかもとゆか,,,,,,,,,
1045,Sakamoto Yuka,坂本由香,さかもとゆか,,,,,,,,,
1046,Sakaki Urara,榊うらら,さかきうらら,88.0,59.0,86.0,,1981-07-01,,,,40.0
1047,Sakaki Mayu,榊真結,さかきみゆ,,,,153.0,1977-12-26,B,水泳、ダンス,,44.0
1054,Sakura Asuka,桜あすか,さくらあすか,,,,,,,,,
1055,Sakura Atuko,桜あつこ,さくらあつこ,,,,,,,,,
1056,Sakura Kotomi,桜ことみ,さくらことみ,83.0,57.0,84.0,156.0,1982-04-21,B,,静岡県,39.0
1057,Sakura Tamaki,桜たまき,さくらたまき,92.0,63.0,90.0,162.0,,B,ネイルアート,東京都,
1059,Sakura Riho,桜りほ,さくらりほ,86.0,56.0,86.0,158.0,1979-06-09,O,映画鑑賞、ライブ鑑賞,東京都,42.0
1063,Sakurai Kasumi,桜井かすみ,さくらいかすみ,85.0,58.0,83.0,160.0,1973-06-15,O,,,48.0
1064,Sakurai Kei,桜井ケイ,さくらいけい,87.0,59.0,88.0,,,,,,
1065,Sakurai Sayaka,桜井沙也加,さくらいさやか,83.0,58.0,80.0,,,,,,
1067,Sakurai Sinobu,桜井しのぶ,さくらいしのぶ,,,,,,,,,
1069,Sakurai Hikaru,桜井ひかる,さくらいひかる,,,,,,,,,
1072,Sakurai Momoko,桜井桃子,さくらいももこ,,,,,,,,,
1074,Sakurai Mai,桜井舞,さくらいまい,93.0,56.0,85.0,,1980-01-23,O,,,41.0
1075,Sakurai Huuka,桜井風花,さくらいふうか,90.0,60.0,90.0,161.0,1979-12-24,B,音楽鑑賞、カラオケ、スノーボード,福岡県,42.0
1076,Sakurai Yayoi,桜井弥生,さくらいやよい,,,,,,,,,
1077,Sakurai Rika,桜井里佳,さくらいりか,,,,,,,,,
1078,Sakurai Ryouko,桜井涼子（白鳥美香）,さくらいりょうこ（しらとりみか）,83.0,58.0,84.0,155.0,1977-10-10,A,音楽鑑賞,北海道,44.0
1081,Sakura Nana,桜菜々,さくらなな,83.0,59.0,83.0,150.0,1980-02-22,O,洗濯,東京都,41.0
1083,Sakuragi Miku,桜樹未来,さくらぎみく,,,,,,,,,
1084,Sakura Makoto,桜真琴,さくらまこと,90.0,57.0,85.0,,1980-12-12,O,,,41.0
1087,Oumura Haruna,桜村はるな,おうむらはるな,80.0,58.0,85.0,,1980-11-16,A,旅行,,41.0
1088,Sakurazawa Nanako,桜沢菜々子,さくらざわななこ,82.0,60.0,88.0,167.0,1975-11-20,O,パチンコ,青森県,46.0
1091,Sakuraba Nao,桜庭奈緒,さくらばなお,,,,,,,,,
1092,Sakuraba Rei,桜庭澪,さくらばみお,88.0,58.0,86.0,,,,,,
1093,Sakurada Keiko,桜田佳子,さくらだけいこ,89.0,57.0,83.0,,1978-07-23,O,,,43.0
1095,Sakurada Yukari,桜田由加里,さくらだゆかり,85.0,61.0,85.0,156.0,1970-07-02,A,スポーツ観戦,東京都,51.0
1098,Sakuragi Rui,桜樹ルイ,さくらぎるい,84.0,60.0,87.0,164.0,1970-03-08,B,ゲーム,東京都,51.0
1099,Sakuragi Ami,桜木亜美（柏木愛）,さくらぎあみ（かしわぎあい）,85.0,56.0,82.0,157.0,1975-05-02,O,読書,東京都,46.0
1101,Mitui Eri,三井エリ,みついえり,86.0,60.0,88.0,,1980-02-23,,寝ること,,41.0
1103,Mitui Eri,三井絵梨,みついえり,82.0,56.0,85.0,156.0,1980-05-01,O,ショッピング,神奈川県,41.0
1105,Miura Aika,AIKA（三浦あいか）,あいか（みうらあいか）,81.0,54.0,79.0,155.0,1975-11-02,O,ドライブ、スキー、フィッシング,神奈川県,46.0
1106,Miura Siho,三浦しほ,みうらしほ,88.0,60.0,86.0,,,,,,
1110,Miura Maki,三浦真紀,みうらまき,,,,,,,,,
1112,Sannomiya Rio,三宮里緒,さんのみやりお,88.0,57.0,86.0,160.0,1980-02-20,O,ドライブ、カラオケ,東京都,41.0
1113,Mituki An,三月あん（甘味いちご）,みつきあん（あまみいちご）,94.0,57.0,84.0,147.0,1983-01-28,AB,料理,神奈川県,38.0
1114,Mihara Yuuka,三原夕香（川村千里）,みはらゆうか（かわむらちさと）,86.0,56.0,83.0,158.0,1977-03-09,A,ダイビング,神奈川県,44.0
1116,Saegusa Ryouko,三枝涼子,さえぐさりょうこ,87.0,58.0,86.0,,,,,,
1117,Mikami Sati,三上さち,みかみさち,,,,,,,,,
1118,Mikami Syun,三上しゅん,みかみしゅん,,,,,,,,,
1119,Mikami Ran,三上蘭,みかみらん,84.0,59.0,86.0,,1982-12-16,O,,,39.0
1120,Mitumori Junna,三森純菜,みつもりじゅんな,83.0,59.0,90.0,,,,,,
1121,Misawa Madoka,三沢まどか,みさわまどか,,,,,,,,,
1122,Mitamura Mai,三田村舞,みたむらまい,,,,,,,,,
1123,Mita Yuuho,三田友穂,みたゆうほ,88.0,58.0,82.0,153.0,1978-06-27,B,ゴルフ,東京都,43.0
1124,Mita Ryouko,三田涼子,みたりょうこ,,,,,,,,,
1126,Mitumoto Ami,三本亜美,みつもとあみ,82.0,59.0,88.0,153.0,1980-10-10,O,カラオケ,,41.0
1130,Yamasita Mirei,山下美麗,やましたみれい,,,,,,,,,
1131,Yamasita Mai,山下麻衣,やましたまい,79.0,57.0,84.0,154.0,1971-02-09,A,,東京都,50.0
1132,Yamasita Rika,山下理香,やましたりか,,,,,,,,,
126,Tukamoto Yuki,牧本千幸（つかもと友希）,まきもとちゆき（つかもとゆうき）,83.0,59.0,81.0,154.0,1973-08-26,O,読書,広島県,48.0
131,Maki Arisa,眞木ありさ,まきありさ,83.0,58.0,84.0,,1982-08-14,B,音楽鑑賞,,39.0
133,Devi,デヴィ,でう゛ぃ,84.0,58.0,84.0,160.0,1987-01-26,B,各国別ダンス、ものまね,東京都,34.0
135,Tera Patorittku,テラ パトリック,てら ぱとりっく,,,,,,,,,
139,Tomosaka Mai,ともさかまい,ともさかまい,,,,,,,,,
140,Tomosaka Ai,ともさか愛,ともさかあい,81.0,58.0,86.0,,,,,,
145,Nagomi Moe,なごみもえ,なごみもえ,85.0,58.0,87.0,158.0,1980-09-05,O,映画鑑賞,東京都,41.0
160,Hinako,ひなこ,ひなこ,88.0,58.0,85.0,160.0,1983-06-03,A,ピアノ、エアロビ、テニス,埼玉県,38.0
162,Hirose Manatu,ひろせまなつ,ひろせまなつ,87.0,61.0,85.0,160.0,1981-11-20,A,バスケットボール,東京都,40.0
165,Buriana Bankusu,ブリアナ バンクス,ぶりあな ばんくす,98.0,70.0,90.0,,1979-03-21,,モトクロス,,42.0
169,Subaru,すばる,すばる,90.0,55.0,85.0,157.0,1983-07-10,A,ショッピング,東京都,38.0
179,Misaki Rie,みさき理絵,みさきりえ,87.0,58.0,88.0,162.0,1981-08-10,O,ショッピング、ダンス、ピアノ,,40.0
180,Mizusima Tiharu,みずしまちはる,みずしまちはる,107.0,62.0,93.0,156.0,,A,,,
181,Minami,みなみ,みなみ,80.0,60.0,85.0,160.0,1988-08-08,,読書、映画鑑賞、ピアノ、フルート,,33.0
182,Minami Arisu,みなみありす,みなみありす,88.0,60.0,88.0,154.0,1979-04-13,A,映画鑑賞,神奈川県,42.0
183,Minami Yui,みなみゆい,みなみゆい,83.0,56.0,83.0,156.0,1982-09-20,A,テニス、バイオリン、フランス語,東京都,39.0
186,Meifa,メイファ,めいふぁ,88.0,54.0,84.0,165.0,1975-08-05,B,カラオケ、料理,,46.0
205,Reiko,レイコ,れいこ,84.0,59.0,84.0,,,,読書、お酒、ＳＭ,,
10657,Morino Kurumi,森乃くるみ,もりのくるみ,88.0,59.0,83.0,154.0,1985-12-06,A,買い物,東京都,36.0
10658,Sugiyama Kei,杉山圭,すぎやまけい,102.0,65.0,92.0,163.0,,A,読書、美術館巡り、フェラ、パイズリ,茨城県,
10665,Kyasarin Kurisu,キャサリン・クリス,きゃさりん・くりす,,,,,,,,,
10666,Siina Mayumi,椎名まゆみ,しいなまゆみ,86.0,57.0,85.0,159.0,1978-04-15,A,,埼玉県,43.0
10668,Misaki Moe,美咲もえ,みさきもえ,80.0,56.0,80.0,,,,,,
10672,Hosi Kirara,星きらら,ほしきらら,84.0,57.0,85.0,155.0,,,,,
10676,Miyu,MIYU,みゆ,,,,,,,,,
10677,Seung Ah,スンアー,すんあー,90.0,62.0,87.0,,,,,,
10678,Yada,ヤダ,やだ,,,,,,,,,
10680,Kawai Kanan,かわい果南,かわいかなん,86.0,56.0,83.0,158.0,1983-08-30,O,チアリーダー、ピアノ,東京都,38.0
10687,Yamada Kotomi,山田ことみ,やまだことみ,,,,,,,,,
10701,Asada Mayu,麻田真夕,あさだまゆ,81.0,59.0,81.0,,,,,,
10707,Isikawa Moe,石川萌,いしかわもえ,,,,,,,,,
10713,Komine Kyouko,小峰杏子,こみねきょうこ,86.0,58.0,86.0,165.0,1978-01-07,A,お菓子作り、ネイルアート,大阪府,43.0
10714,Komuro Kayo,小室佳代,こむろかよ,,,,,,,,,
10719,Sinno Yuka,秦由圭,しんのゆか,80.0,58.0,82.0,163.0,1972-08-09,,,東京都,49.0
10723,Tanikawa Aya,谷川彩,たにかわあや,,,,,,,,,
10739,Miyazawa Kei,宮沢けい,みやざわけい,,,,,,,,,
10744,Yuuki Hina,有希比奈,ゆうきひな,86.0,58.0,85.0,153.0,1980-12-10,B,,岡山県,41.0
10746,Yosizawa Yuki,吉沢幸,よしざわゆき,,,,,,,,,
10751,Siratori Akira,白鳥あきら,しらとりあきら,83.0,60.0,86.0,170.0,1981-04-14,A,パソコン,山形県,40.0
10753,Sirayuki Mio,白雪美音,しらゆきみお,80.0,56.0,80.0,153.3,1985-12-23,O,パソコン,東京都,36.0
10758,Siina Akira,椎名あきら,しいなあきら,85.0,60.0,82.0,163.0,1985-04-06,O,,東京都,36.0
10766,Morikawa Misaki,森川美咲,もりかわみさき,,,,,,,,,
10768,Aoi Ageha,葵あげは,あおいあげは,85.0,59.0,87.0,155.0,1982-08-22,O,フェンシング,福島県,39.0
10769,Tatibana Hitomi,立花瞳,たちばなひとみ,85.0,58.0,88.0,168.0,1977-05-03,O,エステ、旅行,東京都,44.0
10782,Hubuki Megu,風吹めぐ,ふぶきめぐ,92.0,58.0,90.0,158.0,,,,,
10784,Mizuki Rei,瑞樹レイ,みずきれい,85.0,59.0,87.0,163.0,,,,,
10796,Itinose Yumi,一ノ瀬由美,いちのせゆみ,86.0,56.0,88.0,160.0,,,,,
10806,Morisita Sayaka,森下さやか,もりしたさやか,90.0,62.0,88.0,160.0,,,,,
10808,Gotou Syouko,後藤聖子,ごとうしょうこ,110.0,60.0,90.0,157.0,1985-01-18,A,音楽鑑賞,宮崎県,36.0
10822,Takizawa Yuuna,滝沢優奈,たきざわゆうな,85.0,58.0,86.0,160.0,1985-03-25,,ショッピング,東京都,36.0
10827,Hirayama Tisato,平山千里,ひらやまちさと,84.0,59.0,87.0,166.0,1985-02-14,A,プリクラ、カラオケ、ブリッジ、ピアノ,東京都,36.0
10830,Asakawa Rei,麻川麗,あさかわれい,84.0,57.0,88.0,,1983-12-08,A,,,38.0
10832,Ai Yuuki,藍ゆうき,あいゆうき,83.0,57.0,85.0,161.0,1984-11-11,A,ダンス、新体操,東京都,37.0
10833,Huzisaki Kaede,藤崎楓,ふじさきかえで,84.0,58.0,85.0,158.0,1984-12-25,O,映画鑑賞,東京都,37.0
10834,Hosino Tugumi,星野つぐみ,ほしのつぐみ,80.0,54.0,82.0,143.0,1985-12-12,A,読書、コスプレ、ニーソ集め、おもちゃ屋さんに行く,東京都,36.0
10835,Inaba Misaki,稲葉みさき,いなばみさき,83.0,58.0,85.0,163.0,1984-12-03,A,,神奈川県,37.0
10844,Kobayasi Kasumi,小林かすみ,こばやしかすみ,82.0,57.0,85.0,160.0,,,ショッピング、カラオケ,,
10857,Motiduki Kana,望月加奈（松沢真理）,もちづきかな（まつざわまり）,92.0,61.0,86.0,158.0,1972-07-24,A,ボーリング、カラオケ、華道、ゴルフ、テニス,千葉県,49.0
10860,May,May,めい,85.0,57.0,87.0,,,,,,
10861,Nakagawa Hitomi,中川瞳,なかがわひとみ,88.0,60.0,88.0,168.0,1985-12-24,A,お菓子作り、バレーボール,東京都,36.0
10879,Ogawa Runa,小川流菜,おがわるな,86.0,60.0,88.0,167.0,1977-09-28,,,,44.0
10880,Sazanami Majyu,漣真珠,さざなみまじゅ,83.0,56.0,83.0,156.0,1984-06-03,A,,長野県,37.0
10883,Hukada Miyuki,深田みゆき,ふかだみゆき,,,,,,,,,
10885,Sena Kazuki,瀬名かずき,せなかずき,,,,,,,,,
10890,Yosioka Megumi,吉岡めぐみ,よしおかめぐみ,85.0,59.0,88.0,166.0,1984-12-12,A,ショッピング,東京都,37.0
10893,Sakura Aoi,さくら葵,さくらあおい,81.0,58.0,84.0,158.0,,A,,,
10895,Kawasima Sayuri,川島さゆり,かわしまさゆり,,,,,,,,,
10899,Takatuki Ami,高槻あみ,たかつきあみ,,,,,,,,,
10900,Hina,ひな,ひな,86.0,58.0,86.0,155.0,1985-05-06,A,ドライブ,東京都,36.0
10904,Harada Yuuki,原田祐希,はらだゆうき,85.0,58.0,86.0,160.0,1986-03-03,A,散歩、ショッピング、水泳、卓球,東京都,35.0
10905,Zaizen Reiko,財前礼子,ざいぜんれいこ,92.0,58.0,84.0,165.0,,,,,
10919,Huzimura Yayoi,藤村弥生,ふじむらやよい,,,,,,,,,
10933,Matumura Yuu,松村優,まつむらゆう,87.0,58.0,88.0,158.0,1984-03-25,O,ピアノ,東京都,37.0
10934,Akiyama Kasumi,秋山かすみ,あきやまかすみ,86.0,59.0,85.0,,,,ビリヤード,,
10937,Kosaka Wakana,小坂若菜,こさかわかな,,,,,,,,,
10946,Sakaki Noriko,榊のりこ,さかきのりこ,88.0,,,,,,,,
10960,Katase Ran,片瀬ラン,かたせらん,86.0,54.0,83.0,,1979-07-31,,,,42.0
10963,Gotou Rina,後藤リナ,ごとうりな,86.0,60.0,86.0,158.0,1979-12-05,AB,バレエ、英会話,山梨県,42.0
10965,Satou Marie,佐藤麻里恵,さとうまりえ,,,,,,,,,
10967,Simamura Kaori,嶋村かおり,しまむらかおり,80.0,55.0,83.0,168.0,1971-01-27,A,音楽鑑賞,山口県,50.0
10980,Tatibana Ruri,橘瑠璃,たちばなるり,88.0,60.0,89.0,162.0,1961-10-18,,,,60.0
10991,Jyou Eren,城エレン,じょうえれん,124.0,65.0,90.0,165.0,1971-07-15,A,歌・ピアノ・エレクトーン・作曲・格闘技観戦・旅行・天体観測・ガーデニング,神奈川県,50.0
10992,Jewel Valmont,ジュエル ヴァルモンテ,じゅえる う゛ぁるもんて,,,,,,,,,
11028,Aikawa Rina,相川リナ,あいかわりな,85.0,59.0,88.0,,1985-06-10,O,,,36.0
11029,Ryo,Ryo,りょう,85.0,57.0,84.0,154.0,1985-12-14,A,カラオケ、ピアノ、水泳,北海道,36.0
11030,Sakura Itina,桜一菜,さくらいちな,83.0,60.0,85.0,157.0,1986-04-06,A,買い物、おしゃべり,大阪府,35.0
11031,Matumoto Megumi,松本恵美,まつもとめぐみ,88.0,58.0,81.0,161.0,,,,,
11035,Sizyoo Miki,史城未貴,しじょうみき,88.0,60.0,88.0,160.0,,,,,
11039,Nakada Siko,中田しこ,なかだしこ,,,,,,,,,
11042,Issiki Azusa,一色あずさ,いっしきあずさ,93.0,58.0,86.0,161.0,1984-07-07,A,ネイルアート、新体操、バスケット,神奈川県,37.0
11060,Sugimoto Ran,杉本蘭,すぎもとらん,,,,,,,,,
11064,Okada Hiromi,岡田裕美,おかだひろみ,90.0,60.0,90.0,162.0,,,,,
11085,Yosioka Natumi,吉岡なつみ,よしおかなつみ,83.0,58.0,85.0,154.0,1986-03-14,O,お菓子作り、プーさん集め,静岡県,35.0
11086,Aira,AIRA,あいら,85.0,58.0,85.0,157.0,1985-06-12,,,愛媛県,36.0
11093,Kaga Miyabi,加賀雅,かがみやび,91.0,60.0,93.0,163.0,,,,,
11096,Nisino Syou,西野翔,にしのしょう,81.0,57.0,83.0,159.0,1985-06-29,O,スノーボード、ウェイクボード,静岡県,36.0
11100,Hayasaki Mami,早咲まみ,はやさきまみ,85.0,56.0,84.0,155.0,1986-02-14,A,カラオケ、マッサージ,東京都,35.0
11104,Yuzuki Rara,柚月らら,ゆずきらら,84.0,57.0,85.0,157.0,1985-03-14,,散歩、料理、バスケ,東京都,36.0
11105,Momosaki Ai,桃咲あい（江藤ひな）,ももさきあい（えとうひな）,83.0,58.0,83.0,152.0,1984-11-19,B,ウォーキング、ショッピング、ピアノ、料理,東京都,37.0
11106,Katase Marina,片瀬茉莉奈,かたせまりな,86.0,56.0,85.0,157.0,1985-12-14,,ショッピング、料理、飴玉の反復横跳び,,36.0
11115,Mizuki Sae,みずき紗英,みずきさえ,86.0,60.0,86.0,153.0,1984-12-12,O,家で犬とゴロゴロ,東京都,37.0
11116,Kawai Amin,可愛あみん,かわいあみん,85.0,57.0,86.0,155.0,1986-03-20,A,カラオケ、映画鑑賞、ピアノ,東京都,35.0
11118,Yosioka Mimi,吉岡みみ,よしおかみみ,85.0,62.0,88.0,158.0,1985-06-29,,,神奈川県,36.0
11122,Kodani Masae,小澤喜美子（小谷雅恵）,おざわきみこ（こだにまさえ）,,,,,,A,,,
11180,Tazaka Hitomi,田坂ひとみ,たざかひとみ,90.0,63.0,92.0,169.0,1980-12-06,A,買い物、テニス,東京都,41.0
11181,Nakazima Yuri,中島ゆり,なかじまゆり,95.0,64.0,88.0,165.0,,,,,
11188,Tanaka Riko,田中梨子,たなかりこ,86.0,58.0,85.0,161.0,1980-03-04,A,,東京都,41.0
11192,Hosino Marin,星乃まりん,ほしのまりん,85.0,58.0,84.0,,1984-06-28,,,,37.0
11205,Kaede Airu,楓アイル,かえであいる,82.0,57.0,83.0,165.0,1986-03-05,A,お買い物、自己投資,東京都,35.0
11206,Mitui Maho,三井真保,みついまほ,,,,,,,,,
11207,Yuuki Ami,優木愛美,ゆうきあみ,,,,,,,,,
11209,Nagato Kaori,永戸かおり,ながとかおり,,,,,,,,,
11210,Kitazima Yosie,北島由枝,きたじまよしえ,,,,,,,,,
11211,Seto Senri,瀬戸千里,せとせんり,,,,,,,,,
11212,Satou Mari,佐藤真理,さとうまり,,,,,,,,,
11213,Minji,ミンジー,みんじー,80.0,62.0,85.0,,,,,,
11214,Hissu,ヒッスー,ひっすー,85.0,60.0,87.0,,,,,,
11215,Nayeong,ナヨン,なよん,83.0,57.0,85.0,,,,,,
11216,Kaoru,KAORU,かおる,,,,,,,,,
11219,Asou Misaki,麻生岬,あそうみさき,93.0,59.0,85.0,155.0,1985-03-08,A,お酒、カラオケ、ピアノ、書道、早起き,東京都,36.0
11222,Hayama Rika,葉山リカ（佑梨恵）,はやまりか（ゆりえ）,84.0,58.0,84.0,,1984-07-16,AB,パソコン、ネットゲーム,,37.0
11228,Sakurai Erika,桜井えりか,さくらいえりか,,,,,,,,,
11238,Touma Yuki,当真ゆき（桜井マミ）,とうまゆき（さくらいまみ）,92.0,60.0,88.0,164.0,1983-03-15,B,音楽鑑賞、カラオケ、ビリヤード,東京都,38.0
11239,Aika Syun,あいか瞬,あいかしゅん,87.0,59.0,86.0,162.0,1984-12-08,AB,ショッピング,神奈川県,37.0
11240,Sakurai Mao,桜井真央,さくらいまお,,,,,,,,,
11241,Koizumi Yuuka,小泉ゆうか,こいずみゆうか,83.0,58.0,85.0,163.0,1986-02-16,O,カラオケ、水泳,東京都,35.0
11245,Kuboduka Ayumi,窪塚歩美,くぼづかあゆみ,84.0,55.0,80.0,,,,,,
11247,Paku Hiisuu,パク・ヒースー,ぱくひーすー,,,,,,,,,
11248,Takisima Azusa,滝島あずさ,たきしまあずさ,80.0,59.0,84.0,158.0,1972-01-14,O,,東京都,49.0
11249,Tyuuto Mika,中渡実果,なかわたりみか,88.0,58.0,85.0,,,,,,
11268,Sinohara Aiko,志乃原愛子,しのはらあいこ,,,,,,,,,
11273,Orihara Zyunko,折原純子,おりはらじゅんこ,82.0,57.0,81.0,,,,,,
11277,Nakayama Tiaki,中山千秋,なかやまちあき,89.0,60.0,89.0,160.0,,,,,
11279,Kisaragi Rin,如月凛,きさらぎりん,82.0,57.0,85.0,,,,,,
11280,Hagiwara Megu,萩原めぐ,はぎわらめぐ,87.0,60.0,89.0,160.0,1985-07-02,A,買い物,神奈川県,36.0
11289,Myuu,Maika（MEW）,まいか（みゅー）,83.0,57.0,85.0,156.0,1987-05-15,A,歌、笑顔,東京都,34.0
11290,Yonekura Kaya,西真奈美（米倉夏弥）,にしまなみ（よねくらかや）,,,,162.0,1987-05-10,A,美容、マッサージ,東京都,34.0
11291,Hara Tihiro,愛咲れいら（原千尋）,あいさきれいら（はらちひろ）,85.0,59.0,88.0,168.0,1984-05-22,O,ショッピング、料理,東京都,37.0
11292,Hino Rin,日野鈴,ひのりん,83.0,57.0,85.0,160.0,1985-09-03,O,ダンス、インターネット、蚊取り、料理,東京都,36.0
11293,Siraisi Misato,白石みさと,しらいしみさと,80.0,58.0,86.0,156.0,1984-07-21,A,犬の散歩、ピアノ,東京都,37.0
11298,Nana,奈々,なな,84.0,58.0,86.0,162.0,1983-09-11,A,買い物、ものづくり,埼玉県,38.0
11320,Mimori Koko,美森ここ,みもりここ,85.0,58.0,83.0,153.0,1985-09-07,A,旅行,東京都,36.0
11322,Hirose Mai,広瀬舞,ひろせまい,83.0,58.0,89.0,,,,,愛知県,
11339,Tatibana Hiromi,橘ひろみ,たちばなひろみ,,,,,,,,,
